,0,1,2,3,4,5,6,7
15,  VOLKSWAGEN Polo Edition 1.6 TDI 59kW (80CV)  ,13.690 € ,Madrid,2018, Diésel,106.157 km,Manual,/coches-segunda-mano/volkswagen-polo-ocasion/edition-1-6-tdi-59kw-80cv-162d51f7a6bc6c-ref7159542
16,  FIAT 500L Urban 1.6 16v Multijet II 120CV S&S  ,13.190 € ,Madrid,2015, Diésel,68.681 km,Manual,/coches-segunda-mano/fiat-500l-ocasion/urban-1-6-16v-multijet-ii-120cv-s-s-162cde4e21962d-ref7138677
17,  AUDI A1 Sportback 1.4 TDI 90CV Attraction  ,15.390 € ,Madrid,2016, Diésel,75.846 km,Manual,/coches-segunda-mano/audi-a1-ocasion/sportback-1-4-tdi-90cv-attraction-1629b68672d350-ref6966301
18,  NISSAN Micra 1.5dCi 66 kW (90 CV) S&S BOSE Limited E.  ,15.590 € ,Madrid,2018, Diésel,53.080 km,Manual,/coches-segunda-mano/nissan-micra-ocasion/1-5dci-66-kw-90-cv-s-s-bose-limited-e-162e0606f563bb-ref7194889
19,  VOLKSWAGEN Polo Advance 1.4 TDI 66kW (90CV) BMT  ,13.790 € ,Madrid,2017, Diésel,113.144 km,Manual,/coches-segunda-mano/volkswagen-polo-ocasion/advance-1-4-tdi-66kw-90cv-bmt-162d51f7833363-ref7159541
0,  SEAT Ibiza ST 1.2 Tsi Style 85  ,8.190 € ,Las Palmas,2015, Gasolina,96.244 km,Manual,/coches-segunda-mano/seat-ibiza-ocasion/ibiza-st-1-2-tsi-style-85-ref6878594
1,  FIAT 500L 500 L  0.9 TwinAir Turbo Nat. Power Lounge  ,15.600 € ,Málaga,2018, Gasolina,84.941 km,Manual,/coches-segunda-mano/fiat-500l-ocasion/500-l-0-9-twinair-turbo-nat-power-lounge-162752735ccd2b-ref6820512
2,  SKODA Rapid 1.2 TSI 90 CV Active  ,10.900 € ,Málaga,2016, Gasolina,108.200 km,Manual,/coches-segunda-mano/skoda-rapid-ocasion/1-2-tsi-90-cv-active-162b56fe997d5c-ref7061074
3,  HYUNDAI i10 1.0 Klass  ,12.890 € ,Madrid,2019, Gasolina,22.539 km,Manual,/coches-segunda-mano/hyundai-i10-ocasion/1-0-klass-1627beec4188a9-ref6840070
4,  DACIA Sandero 0.9 TCE 90 STEPWAY E6 90 5P  ,14.500 € ,Vizcaya,2016, Gasolina,37.180 km,Manual,/coches-segunda-mano/dacia-sandero-ocasion/sandero-0-9-tce-90-stepway-e6-90-5p-20-ref7208801
5,  CITROEN C3 PureTech 60KW (83CV) Feel  ,14.700 € ,Sevilla,2021, Gasolina,25.878 km,Manual,/coches-segunda-mano/citroen-c3-ocasion/puretech-81kw-110cv-s-s-feel-1624beac5b5a3c-ref6677610
6,  SEAT León 1.8 TSI 180cv St&Sp FR  ,15.590 € ,Madrid,2014, Gasolina,105.871 km,Manual,/coches-segunda-mano/seat-leon-ocasion/1-8-tsi-180cv-st-sp-fr-162bb6a6bb31fa-ref7077727
7,  FORD Focus 1.0 Ecoboost 92kW Active  ,15.990 € ,Madrid,2019, Gasolina,80.514 km,Manual,/coches-segunda-mano/ford-focus-ocasion/1-0-ecoboost-92kw-active-162be076297faa-ref7094251
