,Maker,Model,Description,Name,Year,City,Year2,Color,Power,Motor,Chasis,Kilometers,Fuel,Price,Link,largo,ancho,alto,batalla,pesomax,numpuertas,numplazas,cilindrada,numcilindros,velmax,consurb,conscarr,consmed,emisiones
231,OPEL,Astra,1.6 Selective,OPEL Astra 1.6 Selective,2014,Málaga,01/2014,Negro,115,Manual,Berlina,74.681 km,Gasolina,9.900 €,/coches-segunda-mano/opel-astra-ocasion/astra-1-6-selective-1-ref6998034,Largo 4.419 mm,Ancho 1.814 mm,Alto 1.510 mm,(mm)2.685,(kg)1.870,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)188,"Urbano (l/100 km)8,30","Carretera (l/100 km)5,10","Medio (l/100 km)6,30",CO2 (g/km)158
232,HYUNDAI,Tucson,1.7CRDI BD 25A Sky 4x2 115,HYUNDAI Tucson 1.7CRDI BD 25A Sky 4x2 115,2016,Madrid,01/2016,Blanco,115,Manual,Todo Terreno,195.000 km,Diesel,14.995 €,/coches-segunda-mano/hyundai-tucson-ocasion/tucson-1-7crdi-bd-25a-sky-4x2-115-ref6597797,Largo 4.475 mm,Ancho 1.850 mm,Alto 1.660 mm,(mm)2.670,(kg)1.925,puertas5,plazas5,(cm3)1.685,cilindros4,(km/h)176,"Urbano (l/100 km)5,40","Carretera (l/100 km)4,20","Medio (l/100 km)4,60",CO2 (g/km)119
233,FORD,C-Max,1.5TDCi Trend+ 120,FORD C-Max 1.5TDCi Trend+ 120,2017,Madrid,11/2017,Gris,120,Manual,Monovolumen,123.000 km,Diesel,15.700 €,/coches-segunda-mano/ford-c-max-ocasion/c-max-1-5tdci-trend-120-ref6428649,Largo 4.379 mm,Ancho 1.828 mm,Alto 1.610 mm,(mm)2.648,(kg)1.915,puertas5,plazas5,(cm3)1.498,cilindros4,(km/h)184,"Urbano (l/100 km)4,70","Carretera (l/100 km)3,70","Medio (l/100 km)4,10",CO2 (g/km)110
234,OPEL,Astra,1.6CDTi S/S Dynamic 136,OPEL Astra 1.6CDTi S/S Dynamic 136,2016,Valencia,04/2016,Rojo,136,Manual,Berlina,87.287 km,Diesel,13.299 €,/coches-segunda-mano/opel-astra-ocasion/1-6-cdti-136cv-ss-dynamic-162bc758ba8492-ref7083753,Largo 4.370 mm,Ancho 1.809 mm,Alto 1.485 mm,(mm)2.662,(kg)1.850,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)205,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,50","Medio (l/100 km)3,90",CO2 (g/km)116
235,OPEL,Corsa,1.3CDTI S&S Selective 95,OPEL Corsa 1.3CDTI S&S Selective 95,2017,Valencia,06/2017,Gris,95,Manual,Berlina,48.413 km,Diesel,12.400 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-3cdti-s-s-selective-95-1-ref6955445,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.695,puertas5,plazas5,(cm3)1.248,cilindros4,(km/h)177,"Urbano (l/100 km)3,80","Carretera (l/100 km)3,10","Medio (l/100 km)3,40",CO2 (g/km)108
236,MAZDA,Mazda3,2.0 Style 120,MAZDA Mazda3 2.0 Style 120,2014,Málaga,09/2014,Rojo,120,Manual,Berlina,77.833 km,Gasolina,13.999 €,/coches-segunda-mano/mazda-mazda3-ocasion/mazda3-2-0-style-120-ref7200257,Largo 4.460 mm,Ancho 1.795 mm,Alto 1.450 mm,(mm)2.700,(kg)1.815,puertas5,plazas5,(cm3)1.998,cilindros4,(km/h)195,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)119
237,SEAT,León,1.4 TGI GNC S&S Reference,SEAT León 1.4 TGI GNC S&S Reference,2015,Albacete,02/2015,Gris,110,Manual,Berlina,146.689 km,Gasolina/gas,10.200 €,/coches-segunda-mano/seat-leon-ocasion/leon-1-4-tgi-gnc-s-s-reference-ref6169385,Largo 4.263 mm,Ancho 1.816 mm,Alto 1.459 mm,(mm)2.636,(kg)1.840,puertas5,plazas5,(cm3)1.395,cilindros4,(km/h)194,"Urbano (l/100 km)6,90","Carretera (l/100 km)4,50","Medio (l/100 km)5,40",CO2 (g/km)96
238,SKODA,Yeti,Outdoor 2.0TDI Ambition 4x2 81kW,SKODA Yeti Outdoor 2.0TDI Ambition 4x2 81kW,2014,Ciudad Real,06/2014,Blanco,110,Manual,Todo Terreno,182.510 km,Diesel,10.350 €,/coches-segunda-mano/skoda-yeti-ocasion/yeti-outdoor-2-0tdi-ambition-4x2-110-ref6593497,Largo 4.227 mm,Ancho 1.793 mm,Alto 1.691 mm,(mm)2.578,(kg)1.960,puertas5,plazas5,(cm3)1.968,cilindros4,(km/h)177,"Urbano (l/100 km)6,60","Carretera (l/100 km)4,70","Medio (l/100 km)5,40",CO2 (g/km)134
239,FIAT,Tipo,SW 1.4 T-Jet Gasolina/GLP Pop,FIAT Tipo SW 1.4 T-Jet Gasolina/GLP Pop,2018,Alicante,10/2018,Negro,120,Manual,Stationwagon,138.463 km,Gasolina/gas,10.250 €,/coches-segunda-mano/fiat-tipo-ocasion/tipo-sw-1-4-t-jet-gasolina-glp-pop-120-ref6867433,Largo 4.571 mm,Ancho 1.792 mm,Alto 1.514 mm,(mm)2.638,(kg)1.885,puertas5,plazas5,(cm3)1.368,cilindros4,(km/h)200,"Urbano (l/100 km)11,40","Carretera (l/100 km)6,50","Medio (l/100 km)8,30",CO2 (g/km)135
240,SMART,Fortwo,Coupé 52 Passion,SMART Fortwo Coupé 52 Passion,2015,Alicante,07/2015,Negro,71,Manual,Berlina,48.431 km,Gasolina,9.750 €,/coches-segunda-mano/smart-fortwo-ocasion/fortwo-coupe-52-passion-1-ref7137221,Largo 2.695 mm,Ancho 1.663 mm,Alto 1.555 mm,(mm)1.873,(kg)1.150,puertas3,plazas2,(cm3)999,cilindros3,(km/h)151,"Urbano (l/100 km)5,90","Carretera (l/100 km)4,50","Medio (l/100 km)5,00",CO2 (g/km)114
241,BMW,Serie 3,318dA Touring (0.0),BMW Serie 3 318dA Touring (0.0),2014,Madrid,10/2014,Blanco,143,Automático,Stationwagon,190.000 km,Diesel,13.990 €,/coches-segunda-mano/bmw-serie-3-ocasion/318da-touring-0-0-ref6673391,Largo 4.624 mm,Ancho 1.811 mm,Alto 1.429 mm,(mm)2.810,(kg)2.045,puertas5,plazas5,(cm3)1.995,cilindros4,(km/h)210,"Urbano (l/100 km)5,50","Carretera (l/100 km)4,00","Medio (l/100 km)4,50",CO2 (g/km)119
242,SEAT,Ibiza,1.0 TSI S&S Reference 95,SEAT Ibiza 1.0 TSI S&S Reference 95,2018,Las Palmas,12/2018,Blanco,95,Manual,Berlina,27.000 km,Gasolina,12.990 €,/coches-segunda-mano/seat-ibiza-ocasion/ibiza-1-0-ecotsi-s-s-reference-95-1-ref7111102,Largo 4.059 mm,Ancho 1.780 mm,Alto 1.444 mm,(mm)2.564,(kg)1.550,puertas5,plazas5,(cm3)999,cilindros3,(km/h)182,"Urbano (l/100 km)5,40","Carretera (l/100 km)4,10","Medio (l/100 km)4,60",CO2 (g/km)105
243,NISSAN,Qashqai,1.5dCi Acenta 4x2,NISSAN Qashqai 1.5dCi Acenta 4x2,2017,Barcelona,12/2017,Negro,110,Manual,Todo Terreno,124.498 km,Diesel,14.900 €,/coches-segunda-mano/nissan-qashqai-ocasion/qashqai-1-5dci-acenta-4x2-4-ref6902910,Largo 4.394 mm,Ancho 1.806 mm,Alto 1.590 mm,(mm)2.646,(kg)1.910,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)182,"Urbano (l/100 km)4,20","Carretera (l/100 km)3,60","Medio (l/100 km)3,80",CO2 (g/km)99
244,VOLKSWAGEN,Golf,1.6TDI CR BMT Advance 110,VOLKSWAGEN Golf 1.6TDI CR BMT Advance 110,2015,Madrid,11/2015,"Gris
                     / Metalizado",110,Manual,Berlina,129.000 km,Diesel,12.995 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-1-6tdi-cr-bmt-advance-110-1-ref7193210,Largo 4.255 mm,Ancho 1.799 mm,Alto 1.452 mm,(mm)2.637,(kg)1.800,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)195,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,50","Medio (l/100 km)3,80",CO2 (g/km)103
